epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2699,1.01653,2.19474,1.22955,0.4805,0.57987,0.48937,0.37544,0.83262,2.93511,1.1723,0.000412088,0.000412088,0.000412088
2,106.474,1.06818,1.25257,1.27176,0.64913,0.5198,0.54575,0.3792,1.0371,1.77885,1.30156,0.00082055,0.00082055,0.00082055
3,149.989,1.08437,1.15015,1.28938,0.58571,0.44313,0.44974,0.31426,1.02147,2.373,1.29842,0.00122076,0.00122076,0.00122076
4,193.374,1.06582,1.08439,1.2718,0.78625,0.6704,0.75162,0.55614,0.85397,1.12059,1.19136,0.00121287,0.00121287,0.00121287
5,242.05,1.04329,0.98998,1.24558,0.81696,0.75795,0.80613,0.60313,0.79028,0.84179,1.09162,0.0012005,0.0012005,0.0012005
6,292.964,1.00126,0.91002,1.23432,0.79436,0.70145,0.76101,0.5601,0.9192,0.92243,1.20552,0.00118812,0.00118812,0.00118812
7,336.504,0.98271,0.85616,1.21157,0.82735,0.76938,0.82448,0.64007,0.72601,0.7665,1.06619,0.00117575,0.00117575,0.00117575
8,378.789,0.96206,0.83355,1.1989,0.85462,0.83169,0.88983,0.68464,0.73369,0.61532,1.05367,0.00116337,0.00116337,0.00116337
9,421.126,0.9317,0.806,1.18793,0.89424,0.77026,0.86998,0.68186,0.71331,0.6673,1.02113,0.001151,0.001151,0.001151
10,466.046,0.92893,0.78346,1.16782,0.8463,0.83698,0.87327,0.68416,0.7263,0.54538,1.02152,0.00113863,0.00113863,0.00113863
11,516.17,0.91543,0.70235,1.16553,0.93215,0.83761,0.91301,0.72186,0.71349,0.5411,1.01151,0.00112625,0.00112625,0.00112625
12,558.436,0.90132,0.71295,1.14919,0.91873,0.82667,0.89655,0.69721,0.68687,0.5597,1.01726,0.00111388,0.00111388,0.00111388
13,599.998,0.88567,0.68981,1.15106,0.89696,0.89911,0.92851,0.7402,0.66133,0.46549,1.00511,0.0011015,0.0011015,0.0011015
14,642.444,0.85689,0.6694,1.12458,0.92287,0.86761,0.92337,0.7411,0.66727,0.47291,0.99681,0.00108913,0.00108913,0.00108913
15,688.958,0.87586,0.66595,1.14381,0.9442,0.85985,0.93308,0.75066,0.63305,0.43766,0.97665,0.00107675,0.00107675,0.00107675
16,732.459,0.83467,0.62479,1.11606,0.91912,0.85315,0.91612,0.73832,0.65682,0.51133,0.99315,0.00106437,0.00106437,0.00106437
17,773.337,0.84274,0.6301,1.11446,0.93306,0.88618,0.92898,0.76229,0.62985,0.44987,0.97713,0.001052,0.001052,0.001052
18,817.701,0.83453,0.60997,1.10704,0.93464,0.92672,0.95765,0.79498,0.61605,0.41074,0.95807,0.00103962,0.00103962,0.00103962
19,858.419,0.82631,0.59771,1.11001,0.91541,0.92514,0.95045,0.77078,0.62938,0.42244,0.95921,0.00102725,0.00102725,0.00102725
20,901.378,0.8182,0.59222,1.10086,0.92286,0.9343,0.9548,0.78036,0.60191,0.39108,0.95255,0.00101488,0.00101488,0.00101488
21,942.638,0.79929,0.55159,1.09349,0.91534,0.9439,0.96342,0.78943,0.61586,0.385,0.94926,0.0010025,0.0010025,0.0010025
22,985.429,0.80534,0.55539,1.0919,0.94533,0.91388,0.94721,0.76613,0.65377,0.41919,0.9821,0.000990125,0.000990125,0.000990125
23,1039.64,0.82181,0.57804,1.10262,0.93089,0.93023,0.95829,0.7954,0.61082,0.422,0.95204,0.00097775,0.00097775,0.00097775
24,1083.58,0.79442,0.56454,1.08597,0.94065,0.93777,0.96651,0.80014,0.57096,0.36128,0.93027,0.000965375,0.000965375,0.000965375
25,1126.4,0.77528,0.55575,1.06614,0.93903,0.9517,0.96853,0.81039,0.57696,0.3783,0.9343,0.000953,0.000953,0.000953
26,1169.71,0.78839,0.54128,1.0717,0.93715,0.91943,0.96314,0.81451,0.56507,0.35739,0.93175,0.000940625,0.000940625,0.000940625
27,1211.19,0.76685,0.52823,1.06908,0.95332,0.9401,0.97352,0.82496,0.57051,0.34115,0.92359,0.00092825,0.00092825,0.00092825
28,1253.89,0.77652,0.52633,1.06066,0.95177,0.9485,0.97124,0.81836,0.57964,0.35188,0.93797,0.000915875,0.000915875,0.000915875
29,1296.53,0.78276,0.52641,1.07857,0.96043,0.9524,0.97426,0.81805,0.57626,0.35452,0.9285,0.0009035,0.0009035,0.0009035
30,1339.55,0.75469,0.4928,1.0537,0.96517,0.95998,0.98287,0.83049,0.55889,0.32792,0.91986,0.000891125,0.000891125,0.000891125
31,1379.54,0.75363,0.50921,1.0618,0.94827,0.9602,0.97314,0.82036,0.56203,0.33657,0.92346,0.00087875,0.00087875,0.00087875
32,1422.87,0.73754,0.49924,1.05585,0.93971,0.96037,0.97649,0.82946,0.55677,0.32696,0.92257,0.000866375,0.000866375,0.000866375
33,1464.9,0.73987,0.50479,1.05077,0.96453,0.96601,0.98221,0.82603,0.563,0.32712,0.92077,0.000854,0.000854,0.000854
34,1508.42,0.73436,0.47894,1.0447,0.94015,0.96018,0.98335,0.82807,0.55376,0.32921,0.92075,0.000841625,0.000841625,0.000841625
35,1564.79,0.73478,0.47588,1.03926,0.957,0.96324,0.98439,0.84055,0.54064,0.31888,0.91133,0.00082925,0.00082925,0.00082925
36,1607.12,0.71224,0.46583,1.04035,0.95105,0.95956,0.98087,0.84948,0.54117,0.32764,0.90799,0.000816875,0.000816875,0.000816875
37,1648.39,0.725,0.47089,1.04988,0.96217,0.96009,0.98287,0.84873,0.52935,0.30427,0.90958,0.0008045,0.0008045,0.0008045
