epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3802,1.19257,2.97696,1.63733,0.2932,0.43236,0.29711,0.13993,1.70854,4.55757,2.41007,0.0003636,0.0003636,0.0003636
2,53.823,1.40338,2.33435,1.83027,0.0921,0.28543,0.08254,0.02156,2.45445,5.5529,3.27522,0.000726667,0.000726667,0.000726667
3,79.1963,1.54128,2.45912,1.95031,0.02336,0.16474,0.02435,0.01321,2.58105,11.8255,3.04802,0.0010824,0.0010824,0.0010824
4,102.958,1.5195,2.44964,1.93153,0.28549,0.11913,0.04725,0.01955,2.26483,5.03357,3.06361,0.001078,0.001078,0.001078
5,125.982,1.48906,2.3396,1.89115,0.3197,0.17851,0.09772,0.04403,2.36024,3.92804,2.91739,0.001067,0.001067,0.001067
6,148.687,1.44254,2.19287,1.851,0.19826,0.22028,0.15255,0.06248,2.0105,3.43835,2.73126,0.00105601,0.00105601,0.00105601
7,174.683,1.39166,2.16238,1.83107,0.23499,0.26989,0.14205,0.06681,2.06143,3.8921,2.62256,0.00104501,0.00104501,0.00104501
8,200.807,1.3329,2.08124,1.79476,0.31876,0.39245,0.29221,0.15825,1.63398,2.79742,2.29674,0.00103401,0.00103401,0.00103401
9,226.017,1.30378,2.00402,1.7725,0.34013,0.31562,0.24584,0.1314,1.61119,2.81108,2.28934,0.00102301,0.00102301,0.00102301
10,249.711,1.31414,1.98363,1.75245,0.61131,0.27745,0.30046,0.16955,1.83275,2.37302,2.33858,0.00101201,0.00101201,0.00101201
11,273.774,1.28634,1.92949,1.73465,0.27816,0.33905,0.31005,0.18419,1.57578,2.31087,2.15138,0.00100101,0.00100101,0.00100101
12,298.278,1.26152,1.79826,1.699,0.39948,0.44938,0.38764,0.2007,1.69622,2.41036,2.38143,0.000990012,0.000990012,0.000990012
13,321.586,1.22786,1.76384,1.67119,0.42571,0.40283,0.39087,0.21969,1.56854,2.30137,2.1845,0.000979013,0.000979013,0.000979013
14,346.614,1.21161,1.75809,1.68115,0.31551,0.46881,0.41318,0.25176,1.46824,2.04493,2.09387,0.000968014,0.000968014,0.000968014
15,374.142,1.19588,1.69351,1.65568,0.35374,0.42216,0.35513,0.21386,1.59177,2.20555,2.22415,0.000957015,0.000957015,0.000957015
16,398.13,1.1671,1.657,1.62516,0.55334,0.43288,0.45691,0.2799,1.48117,2.04453,2.0705,0.000946016,0.000946016,0.000946016
17,422.458,1.13097,1.56939,1.61048,0.56413,0.44136,0.47603,0.26765,1.54091,1.98113,2.15631,0.000935018,0.000935018,0.000935018
18,445.988,1.12595,1.52527,1.59155,0.31086,0.43345,0.3662,0.22638,1.55993,2.17344,2.18786,0.000924019,0.000924019,0.000924019
19,469.94,1.13066,1.50167,1.57943,0.35927,0.37248,0.35343,0.19146,1.83669,2.5357,2.60042,0.00091302,0.00091302,0.00091302
20,494.275,1.09707,1.48886,1.561,0.59436,0.38854,0.40782,0.25612,1.52442,2.11543,2.08669,0.000902021,0.000902021,0.000902021
21,518.501,1.07139,1.43938,1.5483,0.54734,0.411,0.44669,0.28091,1.42934,1.92445,1.99933,0.000891022,0.000891022,0.000891022
22,543.115,1.05498,1.35563,1.51048,0.48354,0.45745,0.44758,0.29527,1.39988,1.88431,1.99089,0.000880023,0.000880023,0.000880023
23,569.094,1.02437,1.36011,1.4991,0.39196,0.49495,0.41384,0.26265,1.48175,2.09352,2.09637,0.000869024,0.000869024,0.000869024
24,600.647,1.04148,1.30789,1.52176,0.4594,0.5314,0.47602,0.31454,1.36507,1.87011,1.97525,0.000858025,0.000858025,0.000858025
25,625.333,1.00803,1.27728,1.48253,0.53132,0.47402,0.46069,0.29703,1.46235,1.84567,2.0962,0.000847026,0.000847026,0.000847026
26,648.6,0.97542,1.22912,1.46202,0.50024,0.43799,0.46321,0.2939,1.42016,1.97925,1.99593,0.000836027,0.000836027,0.000836027
27,672.071,0.97958,1.21644,1.46912,0.38149,0.53967,0.43974,0.28843,1.40315,1.89008,1.98155,0.000825029,0.000825029,0.000825029
28,695.817,0.9528,1.20359,1.445,0.58399,0.40898,0.44563,0.29319,1.40204,1.96962,2.02465,0.00081403,0.00081403,0.00081403
29,718.399,0.94702,1.16371,1.43123,0.42528,0.43549,0.4208,0.2731,1.49076,2.11017,2.10702,0.000803031,0.000803031,0.000803031
30,742.333,0.96289,1.14834,1.43073,0.54431,0.46156,0.49437,0.32099,1.43432,1.77537,2.04184,0.000792032,0.000792032,0.000792032
31,769.028,0.95536,1.16478,1.43593,0.52879,0.43067,0.42862,0.28442,1.40666,1.8842,1.99919,0.000781033,0.000781033,0.000781033
32,796.683,0.89832,1.07707,1.37955,0.59761,0.47954,0.48328,0.3238,1.40853,1.82973,2.06002,0.000770034,0.000770034,0.000770034
33,821.067,0.9059,1.07224,1.39621,0.5745,0.41556,0.4493,0.31912,1.3939,1.85782,2.00175,0.000759035,0.000759035,0.000759035
34,844.033,0.8862,1.05022,1.38086,0.52471,0.52344,0.50193,0.35722,1.35007,1.97473,1.9508,0.000748036,0.000748036,0.000748036
35,867.356,0.84728,0.98587,1.3575,0.58781,0.48525,0.49986,0.33808,1.3669,1.66152,1.99432,0.000737037,0.000737037,0.000737037
36,890.587,0.82881,0.94573,1.34092,0.60566,0.47566,0.51664,0.33388,1.42766,1.79234,2.05878,0.000726038,0.000726038,0.000726038
37,913.062,0.87074,1.01838,1.36951,0.6006,0.50519,0.51523,0.34272,1.35009,1.79441,1.9435,0.00071504,0.00071504,0.00071504
38,936.843,0.84628,0.97554,1.35326,0.545,0.51756,0.47628,0.31263,1.40499,1.87956,2.02263,0.000704041,0.000704041,0.000704041
39,963.253,0.8142,0.92644,1.33377,0.55478,0.49727,0.51646,0.33335,1.38636,1.77467,2.02444,0.000693042,0.000693042,0.000693042
40,995.345,0.8106,0.91618,1.30253,0.59816,0.52367,0.54136,0.36163,1.3238,1.73629,1.9621,0.000682043,0.000682043,0.000682043
41,1021.58,0.8105,0.90725,1.32474,0.50914,0.56187,0.52227,0.35175,1.33116,1.64019,1.95228,0.000671044,0.000671044,0.000671044
42,1045.25,0.79263,0.88506,1.29065,0.56035,0.50495,0.53056,0.34174,1.34802,1.72574,1.97579,0.000660045,0.000660045,0.000660045
43,1069.16,0.77442,0.87644,1.28767,0.555,0.55987,0.52058,0.32011,1.44003,1.87433,2.0602,0.000649046,0.000649046,0.000649046
44,1092.82,0.7535,0.84959,1.28108,0.55306,0.52861,0.52592,0.36085,1.35619,1.71247,1.96455,0.000638047,0.000638047,0.000638047
45,1115.94,0.75615,0.79424,1.26935,0.49051,0.57205,0.50829,0.34403,1.34501,1.74612,1.97124,0.000627048,0.000627048,0.000627048
46,1140.65,0.74577,0.80345,1.26072,0.57319,0.49923,0.52977,0.35122,1.35488,1.73047,1.99201,0.000616049,0.000616049,0.000616049
47,1168.15,0.73856,0.80857,1.25746,0.5844,0.55273,0.53929,0.37257,1.34669,1.69368,1.97989,0.000605051,0.000605051,0.000605051
48,1197.2,0.73143,0.7862,1.25889,0.58268,0.56494,0.55699,0.37273,1.362,1.84665,2.00937,0.000594052,0.000594052,0.000594052
49,1220.93,0.70935,0.7722,1.22904,0.59639,0.4975,0.53528,0.37082,1.30922,1.72298,1.98073,0.000583053,0.000583053,0.000583053
50,1243.69,0.73809,0.76154,1.25342,0.61828,0.50119,0.5371,0.36347,1.31118,1.81656,1.99727,0.000572054,0.000572054,0.000572054
51,1266.31,0.70138,0.75486,1.22729,0.5911,0.54834,0.57395,0.41229,1.31045,1.59465,1.967,0.000561055,0.000561055,0.000561055
52,1289.72,0.68783,0.72842,1.21133,0.55966,0.48949,0.53058,0.36519,1.36743,1.80936,2.07211,0.000550056,0.000550056,0.000550056
53,1312.16,0.70709,0.76479,1.25143,0.57511,0.48993,0.49763,0.35238,1.40321,1.95167,2.05558,0.000539057,0.000539057,0.000539057
54,1335.12,0.68768,0.75298,1.2157,0.59094,0.48416,0.52078,0.35431,1.37902,1.80936,2.0339,0.000528058,0.000528058,0.000528058
55,1361.39,0.6936,0.72049,1.21956,0.56826,0.51785,0.53335,0.36786,1.33373,1.68849,2.0303,0.000517059,0.000517059,0.000517059
56,1391.64,0.65701,0.70007,1.18978,0.6072,0.4877,0.50909,0.35468,1.36038,1.85279,2.0616,0.00050606,0.00050606,0.00050606
57,1416.7,0.6471,0.69933,1.19208,0.48821,0.5582,0.53064,0.36267,1.38497,1.82599,2.04923,0.000495062,0.000495062,0.000495062
58,1439.26,0.62912,0.67756,1.17148,0.50057,0.54791,0.52254,0.36588,1.34274,1.79395,2.05519,0.000484063,0.000484063,0.000484063
59,1461.76,0.63441,0.67751,1.17293,0.62116,0.52442,0.54817,0.37125,1.36082,1.83589,2.03171,0.000473064,0.000473064,0.000473064
